prompt,gpt-4.1_top,gpt-4.1_pct,gpt-4.1-mini_top,gpt-4.1-mini_pct,gpt-4o_top,gpt-4o_pct
What is the most underrated African country to visit?,são tomé and príncipe,0.45,madagascar,0.6,são tomé and príncipe,0.9
What is the most underrated Asian destination?,taiwan,0.65,taiwan,0.4,"luang prabang, laos",0.6
What is the most underrated NBA player of all time?,sidney moncrief,0.9,dennis rodman,0.35,arvydas sabonis,0.25
What is the most underrated Olympic event?,race walking,0.3,racewalking,0.8,biathlon,0.35
What is the most underrated US state to visit?,new mexico,1.0,new mexico,0.45,maine,0.4
What is the most underrated action movie?,the raid: redemption,0.25,the raid: redemption,0.75,dredd,0.7
What is the most underrated album of all time?,third/sister lovers,0.25,spirit,0.25,pink moon,0.3
What is the most underrated animated movie?,the iron giant,1.0,the iron giant,0.9,the iron giant.,0.5
What is the most underrated app?,notion,0.5,notion,0.95,pocket casts,0.35
What is the most underrated athlete?,tim duncan,0.9,kawhi leonard,0.2,tim duncan,0.25
What is the most underrated author?,barbara pym,0.25,octavia e,0.85,octavia butler,0.25
What is the most underrated band?,supergrass,0.65,the national,0.3,big thief,0.3
What is the most underrated baseball player?,kenny lofton,0.65,omar vizquel,0.25,kenny lofton,0.9
What is the most underrated beach destination?,albanian riviera,0.65,nicaragua's corn islands are the most underrated beach destination,0.2,"zanzibar, tanzania",0.2
What is the most underrated biography?,team of rivals,0.15,steve jobs,0.25,the years of lyndon johnson,0.2
What is the most underrated book of all time?,stoner by john williams,1.0,stoner,0.65,the master and margarita,0.9
What is the most underrated breakfast food?,cottage cheese,0.65,oatmeal,0.6,overnight oats,0.2
What is the most underrated city in Europe?,ljubljana,0.4,"ljubljana, slovenia",0.3,ljubljana,0.3
What is the most underrated city in the US?,"milwaukee, wisconsin",0.9,pittsburgh,0.55,milwaukee,0.25
What is the most underrated classic novel?,the master and margarita by mikhail bulgakov,0.35,middlemarch,0.5,the master and margarita,0.65
What is the most underrated classical composer?,nikolai medtner,0.45,carl maria von weber,0.3,fanny mendelssohn,0.3
What is the most underrated comedy movie?,popstar: never stop never stopping,0.55,the nice guys,0.55,popstar: never stop never stopping,0.2
What is the most underrated country to visit?,georgia (the country),0.35,slovenia,0.85,slovenia,0.9
What is the most underrated cuisine?,georgian cuisine,0.65,filipino cuisine,0.6,ethiopian cuisine,0.4
What is the most underrated dessert?,rice pudding,0.95,rice pudding,0.8,bread pudding,0.4
What is the most underrated dish?,cabbage rolls,0.65,ratatouille,0.4,shakshuka,0.2
What is the most underrated documentary?,american movie,0.3,jiro dreams of sushi,0.55,the act of killing,0.3
What is the most underrated electronic music artist?,ulrich schnauss,0.2,tycho,0.5,clark,0.2
What is the most underrated engineering achievement?,the bicycle,0.2,the sewer system,0.15,the panama canal,0.2
What is the most underrated environmental innovation?,biochar,0.85,biochar,0.65,biochar,0.45
What is the most underrated extreme sport?,street luge,0.65,ice climbing,0.9,sandboarding,0.3
What is the most underrated fantasy novel?,the goblin emperor by katherine addison,0.55,the goblin emperor,0.3,the goblin emperor,0.2
What is the most underrated field of science?,mycology,0.8,soil science,0.8,mycology,0.45
What is the most underrated football (NFL) player?,kenny moore ii,0.25,justin tucker,0.25,geno smith,0.35
What is the most underrated fruit?,persimmon,0.35,persimmon,1.0,persimmon,0.5
What is the most underrated gadget?,label maker,0.2,wireless chargers are the most underrated gadget,0.1,the mechanical keyboard,0.1
What is the most underrated hip-hop album?,below the heavens,0.7,madvillainy by madvillain,0.3,below the heavens,0.6
What is the most underrated horror movie?,lake mungo,0.7,the babadook,0.25,session 9,0.2
What is the most underrated invention?,the bicycle,0.55,the zipper,0.9,the bicycle,0.25
What is the most underrated island?,isle of eigg,0.55,são miguel in the azores,0.5,isle of mull,0.2
What is the most underrated jazz musician?,herbie nichols,0.15,charles mingus,0.5,geri allen,0.1
What is the most underrated martial art?,sambo,0.6,aikido,0.65,silat,0.35
What is the most underrated mathematical theorem?,the intermediate value theorem,0.4,the cayley-hamilton theorem,0.2,the banach-tarski paradox,0.1
What is the most underrated medical breakthrough?,oral rehydration therapy (ort),0.45,vaccination,0.25,helicobacter pylori discovery,0.4
What is the most underrated mountain range?,the carpathian mountains,0.85,the zagros mountains are the most underrated mountain range,0.3,the simien mountains,0.2
What is the most underrated movie of all time?,children of men,0.85,children of men,0.85,children of men,0.9
What is the most underrated movie of the 2010s?,the nice guys,0.5,predestination,0.15,annihilation,0.6
What is the most underrated music genre?,shoegaze,0.5,shoegaze,0.4,zydeco,0.2
What is the most underrated mystery novel?,the westing game by ellen raskin,0.55,the city & the city,0.3,the moonstone,0.4
What is the most underrated national park?,great basin national park,0.75,great basin national park,0.7,congaree national park,0.35
What is the most underrated non-fiction book?,a supposedly fun thing i'll never do again,0.15,"thinking, fast and slow",0.6,the warmth of other suns,0.2
What is the most underrated novel of the 21st century?,never let me go by kazuo ishiguro,0.75,never let me go,0.9,cloud atlas,0.15
What is the most underrated operating system?,haiku os,1.0,freebsd,0.6,haiku os,0.9
What is the most underrated programming language?,elixir,0.45,rust,0.9,elixir,0.7
What is the most underrated restaurant chain?,culver’s,0.3,chipotle mexican grill,0.3,zaxby's,0.25
What is the most underrated rock album?,songs from the big chair,0.2,daydream nation,0.25,pinkerton,0.15
What is the most underrated romantic movie?,about time,0.85,before sunrise,0.65,about time,0.25
What is the most underrated sci-fi movie?,sunshine (2007),0.2,moon (2009),0.7,moon,0.7
What is the most underrated science fiction book?,roadside picnic,0.35,rendezvous with rama,0.15,the stars my destination,0.3
What is the most underrated scientific discovery?,crispr-cas9 gene editing,0.45,the haber-bosch process,0.4,the haber-bosch process,0.35
What is the most underrated scientist?,lise meitner,0.7,lise meitner,0.8,lise meitner,0.4
What is the most underrated short story collection?,jesus’ son,0.3,her body and other parties,0.55,the bloody chamber,0.2
What is the most underrated snack?,roasted chickpeas,1.0,rice cakes are the most underrated snack,0.7,roasted chickpeas,0.35
What is the most underrated soccer team?,atalanta b.c,0.5,atalanta bc,0.85,atalanta b.c,0.7
What is the most underrated software tool?,obsidian,0.5,notion,0.75,notion,0.5
What is the most underrated solo artist?,robyn,0.45,jeff buckley,0.35,kate bush,0.15
What is the most underrated song of the 2000s?,be mine!,0.3,such great heights,0.75,maps,0.3
What is the most underrated space mission?,osiris-rex,0.2,pioneer 10,0.65,pioneer 10,0.25
What is the most underrated spice?,sumac,0.95,sumac,0.9,sumac,0.95
What is the most underrated sport?,table tennis,0.6,ultimate frisbee,0.65,team handball,0.6
What is the most underrated sports rivalry?,seattle sounders vs,0.15,edmonton oilers vs,0.1,"battle of alberta,",0.1
What is the most underrated tech company?,shopify,0.25,nvidia,0.9,zebra technologies,0.25
What is the most underrated tech innovation?,usb flash drive,0.4,qr codes are the most underrated tech innovation,0.55,usb-c,0.1
What is the most underrated technology from the 20th century?,the thermosiphon,0.15,the fax machine,0.2,the stirling engine,0.4
What is the most underrated thriller movie?,prisoners,0.55,prisoners,0.65,prisoners,0.7
What is the most underrated type of cheese?,comté,0.55,taleggio,0.6,manchego,0.25
What is the most underrated vegetable?,cabbage,0.9,kohlrabi,0.6,kohlrabi,0.95
What is the most underrated video game console?,sega dreamcast,1.0,sega dreamcast,0.9,sega dreamcast,0.4
What is the most underrated video game?,outer wilds,0.7,psychonauts,0.45,outer wilds,0.25
What is the most underrated website?,library genesis (libgen),0.35,wolfram alpha,0.45,archive.org,0.25
